block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
a_65191,18310,1,0,TO CENTRAL WEST END TC,111390,1_merged_3090844,3083068
a_65813,18330,1,1,TO BROADWAY TAYLOR TC,111490,1_merged_3090844,3086019
a_65814,18330,1,1,TO BROADWAY TAYLOR TC,111490,1_merged_3090844,3086018
b_62425,18241,1,0,TO MAPLEWOOD MANCHESTER TC,111046,1_merged_3090847,3064633
b_65162,18225,1,1,TO RIVERVIEW TC,111009,2_merged_3090849,3062860
a_69245,18342,1,0,O'FALLON FAIRVIEW HGHTS - TO HWY 50 & WEBER VIA ST. CLAIR SQUARE,111525,3_merged_3090845,3087940
a_69242,18342,1,0,O'FALLON FAIRVIEW HGHTS - TO HWY 50 & WEBER VIA ST. CLAIR SQUARE,111525,3_merged_3090845,3087941
a_69244,18342,1,0,O'FALLON FAIRVIEW HGHTS - TO HWY 50 & WEBER VIA ST. CLAIR SQUARE,111525,3_merged_3090845,3087942
a_69241,18342,1,0,O'FALLON FAIRVIEW HGHTS - TO HWY 50 & WEBER,111523,3_merged_3090845,3087943
a_69243,18342,1,0,O'FALLON FAIRVIEW HGHTS - TO HWY 50 & WEBER,111523,3_merged_3090845,3087944
a_69242,18342,1,0,O'FALLON FAIRVIEW HGHTS - TO HWY 50 & WEBER,111523,3_merged_3090845,3087945
a_69222,18341,1,1,WASHINGTON PARK - TO EMERSON PARK TC VIA 62ND AND FOREST,111591,3_merged_3090845,3087762
a_69222,18341,1,1,WASHINGTON PARK - TO EMERSON PARK TC,111521,3_merged_3090845,3087763
a_69246,18342,1,1,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,111528,3_merged_3090845,3087948
a_69250,18342,1,1,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA,111529,3_merged_3090845,3087949
b_6512,18217,1,1,TO ROCK ROAD TC,110973,1_merged_3090847,3061645
