stop_lat,wheelchair_boarding,zone_id,stop_lon,stop_id,stop_desc,stop_name,location_type,stop_code
38.680022,1,,-90.35696,4433,FAR SIDE WOODSON @ KEMPLAND PLACE NB,WOODSON @ KEMPLAND PLACE NB,0,4433
38.576556,1,,-90.24775,8879,FAR SIDE GRAND @ TAFT SB,GRAND @ TAFT SB,0,8879
38.627357,1,,-90.201427,7855,MID-BLOCK 14TH STREET @ MARKET SB,14TH STREET @ MARKET SB,0,7855
38.803613,1,,-90.295439,6488,FAR SIDE NEW HALLS FERRY @ SANTIAGO SB,NEW HALLS FERRY @ SANTIAGO SB,0,6488
38.611857,2,,-90.119361,13107,FAR SIDE STATE @ 33RD STREET EB,STATE @ 33RD STREET EB,0,13107
38.592531,2,,-89.953687,14254,NEAR SIDE WEST US-50 @ ALICE EB,WEST US-50 @ ALICE EB,0,14254
38.586066,2,,-90.406341,5584,MID-BLOCK KIRKWOOD @ WALGREENS SB,KIRKWOOD @ WALGREENS SB,0,5584
38.630509,2,,-90.140903,15560,NEAR SIDE BAUGH @ 11TH STREET WB,BAUGH @ 11TH STREET WB,0,15560
38.588882,1,,-90.248248,8682,NEAR SIDE CHIPPEWA @ SPRING WB,CHIPPEWA @ SPRING WB,0,8682
38.727169,1,,-90.223987,16090,,RIVERVIEW-HALL TRANSIT CENTER,0,16090
38.733369,1,,-90.277597,15973,NEAR SIDE WEST FLORISSANT @ SOLWAY SB,WEST FLORISSANT @ SOLWAY SB,0,15973
38.671351,1,,-90.20708,4045,FAR SIDE GRAND @ BLAIR SB,GRAND @ BLAIR SB,0,4045
38.571707,2,,-90.108009,12658,FAR SIDE BOND @ 5851 BOND WB,BOND @ 5851 BOND WB,0,12658
38.607014,1,,-90.373017,5091,FAR SIDE MANCHESTER @ KORTWRIGHT EB,MANCHESTER @ KORTWRIGHT EB,0,5091
38.607483,1,,-90.209688,4042,NEAR SIDE 12TH STREET @ RUSSELL NB,12TH STREET @ RUSSELL NB,0,4042
38.628974,2,,-90.093016,12503,NEAR SIDE KINGSHIGHWAY @ PORTLAND PLACE NB,KINGSHIGHWAY @ PORTLAND PLACE NB,0,12503
38.611903,2,,-90.356447,5098,NEAR SIDE MANCHESTER @ BREMERTON EB,MANCHESTER @ BREMERTON EB,0,5098
38.566963,2,,-90.103016,12657,FAR SIDE BOND @ OLD MISSOURI NB,BOND @ OLD MISSOURI NB,0,12657
38.666756,1,,-90.212882,4049,NEAR SIDE GRAND @ PENROSE SB,GRAND @ PENROSE SB,0,4049
38.653383,2,,-90.216513,7907,,ST. LOUIS @ BALDWIN WB,0,7907
38.653749,1,,-90.33352,5968,NEAR SIDE NORTH HANLEY @ PERSHING NB,NORTH HANLEY @ PERSHING NB,0,5968
38.656315,1,,-90.333114,5969,FAR SIDE NORTH HANLEY @ STRATFORD NB,NORTH HANLEY @ STRATFORD NB,0,5969
38.790333,1,,-90.215223,5490,FAR SIDE BELLEFONTAINE @ PATTERN SB,BELLEFONTAINE @ PATTERN SB,0,5490
38.633912,1,,-90.252668,16149,,CORTEX METROLINK STATION,0,16149
38.750761,2,,-90.348796,16148,FAR SIDE MCDONNELL @ GENAIRE SB,MCDONNELL @ GENAIRE SB,0,16148
38.616432,2,,-90.334348,5960,NEAR SIDE HANLEY @ LITZSINGER NB,HANLEY @ LITZSINGER NB,0,5960
38.769876,1,,-90.274773,16146,,NORTH COUNTY TRANSIT CENTER,0,16146
38.664495,1,,-90.314054,16143,MID-BLOCK 6950 OLIVE EB,6950 OLIVE EB,0,16143
38.664448,1,,-90.313759,16142,MID-BLOCK 6901 OLIVE WB,6901 OLIVE WB,0,16142
38.762005,2,,-90.455448,16141,NEAR SIDE EARTH CITY EXPRESSWAY @ RIDER TRAIL SOUTH NB,EARTH CITY EXPRESSWAY @ RIDER TRAIL SOUTH NB,0,16141
38.607556,1,,-90.244883,16140,MID-BLOCK MAGNOLIA @ 3815 MAGNOLIA WB,MAGNOLIA @ 3815 MAGNOLIA WB,0,16140
38.629827,2,,-90.131039,16327,FAR SIDE 18TH STREET @ LYNCH SB,18TH STREET @ LYNCH SB,0,16327
38.583484,2,,-90.15758,16326,NEAR SIDE SAUGET BUSINESS @ SAUGET INDUSTRIAL SB,SAUGET BUSINESS @ SAUGET INDUSTRIAL SB,0,16326
38.584183,2,,-90.155319,16325,MID-BLOCK SAUGET BUSINESS @ FEDEX SB,SAUGET BUSINESS @ FEDEX SB,0,16325
38.581913,2,,-90.152003,16324,MID-BLOCK SAUGET BUSINESS @ STELLAR ENTRANCE WB,SAUGET BUSINESS @ STELLAR ENTRANCE WB,0,16324
38.750007,2,,-90.32774,3661,NEAR SIDE AIRPORT @ TYNDALL WB,AIRPORT @ TYNDALL WB,0,3661
38.749517,1,,-90.324314,3660,NEAR SIDE AIRPORT @ FAY WB,AIRPORT @ FAY WB,0,3660
38.750108,1,,-90.332062,3663,NEAR SIDE AIRPORT @ EVERGREEN WB,AIRPORT @ EVERGREEN WB,0,3663
38.582902,2,,-90.158083,16320,NEAR SIDE SAUGET INDUSTRIAL PKWY @ SAUGET INDUSTRIAL PKWY NB,SAUGET INDUSTRIAL PKWY @ SAUGET INDUSTRIAL PKWY NB,0,16320
38.735461,2,,-90.310621,3647,FAR SIDE SUBURBAN @ GEORGIA WB,SUBURBAN @ GEORGIA WB,0,3647
38.680505,1,,-90.249141,2281,FAR SIDE KINGSHIGHWAY @ BROWN SB,KINGSHIGHWAY @ BROWN SB,0,2281
38.678245,2,,-90.250699,2282,MID-BLOCK KINGSHIGHWAY @ MARGERETTA SB,KINGSHIGHWAY @ MARGERETTA SB,0,2282
38.676925,1,,-90.251637,2283,NEAR SIDE KINGSHIGHWAY @ NATURAL BRIDGE SB,KINGSHIGHWAY @ NATURAL BRIDGE SB,0,2283
38.676134,1,,-90.252198,2284,FAR SIDE KINGSHIGHWAY @ NATURAL BRIDGE SB,KINGSHIGHWAY @ NATURAL BRIDGE SB,0,2284
38.675107,2,,-90.252918,2285,NEAR SIDE KINGSHIGHWAY @ LEXINGTON SB,KINGSHIGHWAY @ LEXINGTON SB,0,2285
38.628127,2,,-90.132633,16329,FAR SIDE 18TH STREET @ EXCHANGE SB,18TH STREET @ EXCHANGE SB,0,16329
